Data,Cambio,Juros,Desemprego,SalarioMinimo,PIB,IPCA
1996.01,0.9735,2.5765,8.5,325.01,61.9147,1.34
1996.02,0.9801,2.3515,9.1,322.72,61.0103,1.03
1996.03,0.9853,2.2208,10.1,321.78,62.7708,0.35
1996.04,0.9894,2.068,11,318.82,64.2612,1.26
1996.05,0.9945,2.0128,10.8,352.56,68.9086,1.22
1996.06,1.0005,1.9773,10.7,347.94,69.6526,1.19
1996.07,1.0061,1.9286,10.3,343.81,73.1649,1.11
1996.08,1.0126,1.9679,10.3,342.1,73.0853,0.44
1996.09,1.0185,1.9041,9.9,342.03,70.186,0.15
1996.1,1.0243,1.8586,9.7,340.74,76.2441,0.3
1996.11,1.0296,1.8043,9.6,339.58,80.3273,0.32
1996.12,1.0365,1.8043,9.2,338.47,82.4396,0.47
1997.01,1.0421,1.7318,8.9,335.75,76.5448,1.18
1997.02,1.0485,1.6724,9.1,334.24,69.2268,0.5
1997.03,1.0559,1.6416,9.9,331.98,67.7584,0.51
1997.04,1.0601,1.6596,10.7,330,72.7458,0.88
1997.05,1.0675,1.5845,10.7,353.19,77.9586,0.41
1997.06,1.0738,1.6068,10.5,351.96,81.8102,0.54
1997.07,1.0799,1.6038,10.2,351.32,81.092,0.22
1997.08,1.0871,1.5859,10.2,351.43,80.3406,-0.02
1997.09,1.0928,1.5903,10.5,351.08,79.3825,0.06
1997.1,1.0993,1.6729,10.5,350.06,85.5291,0.23
1997.11,1.1065,3.0435,10.5,349.54,84.8697,0.17
1997.12,1.1128,2.9724,10.2,347.56,81.8881,0.43
1998.01,1.1191,2.67,10.3,344.63,78.1276,0.71
1998.02,1.1263,2.1298,11.1,342.78,73.5381,0.46
1998.03,1.1329,2.2007,12,341.11,76.9131,0.34
1998.04,1.1404,1.7067,12.5,339.58,79.6919,0.24
1998.05,1.1473,1.63,12.4,365.25,84.2741,0.5
1998.06,1.1538,1.6024,12.3,364.7,85.246,0.02
1998.07,1.1607,1.7037,12.1,365.73,84.7871,-0.12
1998.08,1.1709,1.4763,12,367.53,83.5175,-0.51
1998.09,1.1801,2.4875,11.7,368.67,81.2388,-0.22
1998.1,1.1876,2.9409,11.6,368.27,84.5531,0.02
1998.11,1.1929,2.6322,11.3,368.93,84.739,-0.12
1998.12,1.2046,2.4016,10.8,367.39,82.6494,0.33
1999.01,1.5011,2.178,10.7,365.01,79.3062,0.7
1999.02,1.9129,2.3787,11.6,360.37,78.5249,1.05
1999.03,1.896,3.3345,12.9,355.81,85.3207,1.1
1999.04,1.6933,2.3524,13.4,354.15,86.4045,0.56
1999.05,1.6827,2.0188,12.9,370.31,88.4302,0.3
1999.06,1.7646,1.6719,12.5,370.05,91.5145,0.19
1999.07,1.7995,1.6588,12.6,367.33,89.0646,1.09
1999.08,1.88,1.5685,12.4,365.32,89.2911,0.56
1999.09,1.8973,1.4871,12.2,363.9,86.8966,0.31
1999.1,1.9687,1.3839,11.6,360.44,93.2801,1.19
1999.11,1.9291,1.3865,11.4,357.09,98.205,0.95
1999.12,1.842,1.5996,10.5,354.46,98.7613,0.6
2000.01,1.8029,1.4557,10.6,352.31,91.1926,0.62
2000.02,1.7745,1.4509,10.5,352.14,89.353,0.13
2000.03,1.7412,1.4493,11.3,351.68,89.1007,0.22
2000.04,1.7674,1.2957,11.8,390.12,90.029,0.42
2000.05,1.8271,1.4939,11.8,390.31,98.1484,0.01
2000.06,1.8075,1.3917,11.7,389.14,103.0042,0.23
2000.07,1.797,1.306,11.6,383.81,101.4048,1.61
2000.08,1.8084,1.4054,11.2,379.22,102.3716,1.31
2000.09,1.8384,1.2236,11,377.6,96.9042,0.23
2000.1,1.8788,1.2878,10.4,376.99,104.817,0.14
2000.11,1.9472,1.2199,10.3,375.9,106.8349,0.32
2000.12,1.9625,1.1982,10,373.85,106.3216,0.59
2001.01,1.9537,1.2651,10.1,370.99,101.8739,0.57
2001.02,2.0011,1.0158,10.7,369.18,99.9788,0.46
2001.03,2.0882,1.2579,11.2,367.42,105.4759,0.38
2001.04,2.1917,1.1864,11.5,434.33,107.0021,0.58
2001.05,2.2964,1.3368,11,431.87,111.4184,0.41
2001.06,2.375,1.2733,10.7,429.3,105.9176,0.52
2001.07,2.4652,1.498,10.9,424.58,108.9442,1.33
2001.08,2.5098,1.6,11.3,421.25,110.2441,0.7
2001.09,2.6709,1.3243,11.5,419.41,105.0626,0.28
2001.1,2.7394,1.5349,11.9,415.5,114.1769,0.83
2001.11,2.5423,1.3934,11.7,410.21,117.6117,0.71
2001.12,2.3619,1.3935,11.6,407.2,114.4298,0.65
2002.01,2.3771,1.534,11.3,402.89,112.1796,0.52
2002.02,2.4188,1.2482,12,401.65,110.0522,0.36
2002.03,2.3458,1.3713,12.8,399.17,115.637,0.6
2002.04,2.3196,1.4836,13.3,440.53,120.2994,0.8
2002.05,2.4796,1.415,12.8,440.13,124.6667,0.21
2002.06,2.7132,1.329,12,437.46,125.751,0.42
2002.07,2.9338,1.5354,11.5,432.49,125.6683,1.19
2002.08,3.1093,1.4434,11.8,428.8,125.2288,0.65
2002.09,3.3412,1.3813,12.2,425.27,121.2891,0.72
2002.1,3.8051,1.6459,12.3,418.7,130.9292,1.31
2002.11,3.5756,1.5409,12,404.97,135.1946,3.02
2002.12,3.6251,1.7424,11.4,394.32,130.9262,2.1
2003.01,3.4376,1.9713,11.2,384.82,129.3927,2.25
2003.02,3.59,1.8304,11.9,379.28,128.202,1.57
2003.03,3.4461,1.777,12.7,374.15,133.9863,1.23
2003.04,3.1179,1.8716,13.6,442.87,137.6003,0.97
2003.05,2.9549,1.9654,13.4,438.53,142.3303,0.61
2003.06,2.8824,1.8567,13.2,438.79,140.3037,-0.15
2003.07,2.879,2.0842,12.7,438.62,141.2868,0.2
2003.08,3.0017,1.7743,12.9,437.83,142.5024,0.34
2003.09,2.922,1.6795,13.2,434.27,146.0862,0.78
2003.1,2.8607,1.6421,13.2,432.58,152.6956,0.29
