Time,REAL_DATA,TELE_DATA
0,227,224
1,226,223
2,223,220
3,224,222
4,223,220
5,218,216
6,217,214
7,216,213
8,211,208
9,226,223
10,224,222
11,224,222
12,226,223
13,216,213
14,227,224
15,221,218
16,211,208
17,211,208
18,224,222
19,223,220
20,218,215
21,223,220
22,211,208
23,217,214
24,224,222
25,227,224
26,226,223
27,215,212
28,226,223
29,227,224
30,219,216
31,221,218
32,218,216
33,216,213
34,215,212
35,224,222
36,222,218
37,212,209
38,223,220
39,227,224
40,224,222
41,226,223
42,226,223
43,215,212
44,227,224
45,212,209
46,224,222
47,227,224
48,227,224
49,221,218
50,218,215
51,227,224
52,223,220
53,215,212
54,222,219
55,226,223
56,215,212
57,224,222
58,227,224
59,227,224
60,222,218
61,224,222
62,212,209
63,223,220
64,227,224
65,226,223
66,224,222
67,212,209
68,221,218
69,227,224
70,222,218
71,225,223
72,224,222
73,227,224
74,218,215
75,227,224
76,213,210
77,215,212
78,224,222
79,224,222
80,221,218
81,224,222
82,227,224
83,224,222
84,211,208
85,225,223
86,215,212
87,215,212
88,223,220
89,212,209
90,221,218
91,218,215
92,216,214
93,217,214
94,223,220
95,212,209
96,213,210
97,224,222
98,217,214
99,211,208
100,222,219
101,227,224
102,215,212
103,222,218
104,223,220
105,217,214
106,219,217
107,226,223
108,217,214
109,226,223
110,227,224
111,211,208
112,226,223
113,217,214
114,218,215
115,222,219
116,212,209
117,227,224
118,226,223
119,227,224
120,224,222
121,212,209
122,224,222
123,223,220
124,215,212
125,215,212
126,224,222
127,221,218
128,226,223
129,223,220
130,215,212
131,226,223
132,211,208
133,221,218
134,215,212
135,224,222
136,218,215
137,225,223
138,212,209
139,226,223
140,223,220
141,212,209
142,226,223
143,211,208
144,215,212
145,224,222
146,218,215
147,226,223
148,226,223
149,224,222
150,224,222
151,226,223
152,224,222
153,212,209
154,222,218
155,217,214
156,223,220
157,223,220
158,217,214
159,214,211
160,227,224
161,217,214
162,222,218
163,212,209
164,212,209
165,226,223
166,223,220
167,226,223
168,222,218
169,224,221
170,212,209
171,218,215
172,217,214
173,224,222
174,212,209
175,226,223
176,212,209
177,226,223
178,218,216
179,215,212
180,218,215
181,218,216
182,218,215
183,226,223
184,227,224
185,223,220
186,215,212
187,226,223
188,220,218
189,215,212
190,224,222
191,217,214
192,227,224
193,215,212
194,224,222
195,221,218
196,227,224
197,224,221
198,221,218
199,224,222
200,227,224
201,223,220
202,226,223
203,224,222
204,226,223
205,216,214
206,217,214
207,226,223
208,211,208
209,224,222
210,227,224
211,226,223
212,215,212
213,215,212
214,224,222
215,212,209
216,226,223
217,218,216
218,225,223
219,226,223
220,211,208
221,223,220
222,226,223
223,227,224
224,220,218
225,221,218
226,215,212
227,215,212
228,226,223
229,225,223
230,227,224
231,217,214
232,224,222
233,217,214
234,224,222
235,217,214
236,223,220
237,226,223
238,212,209
239,217,214
240,215,212
241,223,220
242,212,209
243,226,223
244,227,224
245,226,223
246,226,223
247,224,222
248,215,212
249,223,220
250,226,223
251,225,223
252,226,223
253,214,211
254,226,223
255,226,223
256,215,212
257,219,216
258,225,223
259,217,213
260,224,222
261,223,220
262,215,212
263,223,220
264,215,212
265,221,218
266,221,218
267,224,222
268,216,213
269,215,212
270,227,224
271,223,220
272,222,219
273,224,222
274,217,214
275,225,223
276,227,224
277,219,216
278,217,214
279,218,215
280,219,217
281,217,214
282,226,223
283,223,220
284,224,222
285,211,208
286,218,215
287,215,212
288,224,222
289,212,208
290,223,220
291,213,211
292,218,215
293,226,223
294,227,224
295,218,215
296,222,219
297,224,221
298,216,214
299,215,212
300,225,222
301,221,218
302,212,209
303,211,208
304,215,212
305,223,221
306,212,209
307,221,217
308,215,212
309,219,217
310,212,209
311,220,218
312,215,212
313,222,219
314,221,218
315,224,221
316,215,212
317,219,217
318,219,216
319,217,214
320,207,205
321,224,221
322,224,221
323,224,221
324,214,212
325,217,214
326,211,208
327,214,212
328,222,219
329,209,206
330,209,206
331,219,216
332,218,215
333,223,220
334,220,217
335,210,207
336,209,206
337,211,208
338,209,206
339,222,219
340,213,211
341,211,208
342,221,218
343,222,219
344,222,219
345,223,221
346,209,206
347,219,216
348,213,211
349,216,214
350,209,206
351,211,208
352,211,208
353,216,214
354,222,219
355,209,206
356,216,214
357,216,214
358,213,211
359,222,219
360,222,219
361,210,207
362,212,209
363,209,206
364,211,208
365,211,208
366,217,214
367,223,221
368,222,219
369,214,212
370,216,214
371,217,214
372,220,217
373,211,208
374,221,218
375,223,220
376,219,216
377,218,215
378,223,221
379,212,210
380,217,214
381,214,212
382,221,218
383,217,214
384,209,206
385,214,212
386,219,216
387,222,219
388,219,216
389,219,216
390,211,208
391,222,219
392,220,217
393,220,217
394,221,218
395,221,218
396,222,219
397,212,209
398,215,212
399,221,218
400,218,214
401,211,208
402,222,219
403,222,219
404,222,219
405,221,218
406,219,216
407,216,214
408,213,211
409,214,212
410,222,219
411,211,208
412,215,212
413,214,212
414,213,211
415,220,217
416,221,218
417,209,206
418,220,217
419,216,214
420,209,206
421,219,217
422,217,214
423,209,206
424,212,210
425,219,216
426,219,216
427,209,206
428,221,218
429,224,221
430,221,218
431,217,214
432,221,218
433,212,209
434,218,215
435,221,218
436,209,206
437,219,217
438,222,219
439,221,218
440,222,219
441,221,218
442,222,219
443,212,209
444,217,214
445,222,219
446,224,221
447,219,216
448,222,220
449,222,219
450,219,216
451,223,220
452,221,218
453,217,214
454,223,220
455,220,218
456,220,218
457,215,212
458,220,218
459,226,223
460,224,222
461,212,209
462,214,211
463,226,223
464,215,212
465,224,222
466,214,211
467,216,213
468,221,218
469,215,212
470,226,223
471,224,222
472,224,222
473,226,223
474,225,223
475,217,214
476,226,224
477,226,223
478,212,209
479,225,223
480,221,218
481,221,218
482,218,215
483,222,218
484,217,214
485,227,224
486,223,220
487,218,215
488,211,208
489,218,216
490,213,210
491,218,215
492,221,218
493,214,211
494,221,218
495,226,223
496,224,222
497,223,220
498,223,220
499,227,224
500,223,220
501,223,220
502,227,224
503,226,223
504,211,208
505,223,220
506,223,220
507,226,223
508,223,220
509,212,209
510,223,220
511,223,220
512,212,209
513,223,220
514,220,218
515,221,218
516,218,215
517,218,216
518,227,224
519,212,209
520,211,208
521,211,208
522,226,223
523,215,212
524,227,224
525,217,214
526,221,218
527,226,223
528,224,222
529,221,218
530,215,212
531,221,218
532,226,223
533,217,214
534,219,216
535,222,219
536,221,218
537,219,216
538,224,222
539,221,218
540,223,220
541,227,224
542,224,222
543,226,223
544,227,224
545,226,224
546,224,221
547,223,220
548,221,218
549,224,222
550,217,214
551,221,218
552,224,222
553,217,214
554,225,223
555,217,214
556,223,220
557,221,218
558,223,220
559,217,214
560,223,220
561,218,215
562,224,222
563,215,212
564,218,216
565,224,221
566,227,224
567,216,213
568,223,220
569,217,214
570,224,222
571,226,223
572,226,223
573,223,220
574,222,218
575,223,220
576,223,220
577,216,213
578,218,215
579,224,222
580,218,215
581,212,209
582,221,218
583,222,219
584,224,222
585,212,209
586,212,209
587,227,224
588,224,222
589,224,222
590,224,222
591,218,215
592,226,223
593,223,220
594,224,222
595,212,209
596,226,223
597,216,214
598,223,220
599,215,212
600,212,209
601,227,224
602,215,212
603,221,218
604,221,218
605,221,218
606,221,218
607,218,215
608,219,217
609,221,218
610,212,209
611,221,218
612,217,214
613,212,209
614,227,224
615,217,214
616,217,214
617,218,215
618,218,215
619,217,214
620,224,221
621,226,223
622,224,222
623,226,223
624,215,212
625,215,212
626,221,218
627,212,209
628,226,223
629,224,222
630,226,223
631,218,216
632,226,223
633,211,208
634,217,214
635,225,223
636,223,220
637,212,209
638,218,215
639,211,208
640,224,222
641,215,212
642,217,214
643,223,220
644,217,214
645,223,220
646,217,214
647,217,214
648,217,214
649,221,218
650,226,223
651,224,222
652,217,214
653,218,216
654,227,224
655,218,215
656,226,223
657,215,212
658,226,223
659,215,212
660,224,222
661,212,209
662,213,210
663,226,224
664,227,224
665,221,218
666,227,224
667,226,223
668,218,215
669,218,216
670,214,211
671,224,222
672,224,222
673,218,216
674,215,212
675,212,209
676,227,224
677,223,220
678,226,223
679,215,212
680,224,222
681,222,218
682,224,222
683,226,223
684,223,220
685,212,209
686,221,218
687,215,212
688,217,214
689,218,215
690,217,214
691,224,222
692,226,223
693,227,224
694,223,220
695,218,215
696,226,223
697,223,220
698,215,212
699,222,219
700,227,224
701,211,208
702,224,222
703,215,212
704,223,220
705,217,214
706,226,223
707,225,223
708,223,220
709,215,212
710,223,220
711,226,223
712,224,222
713,227,224
714,216,213
715,221,218
716,217,214
717,211,208
718,224,222
719,226,223
720,222,219
721,217,214
722,225,223
723,222,218
724,215,212
725,216,213
726,215,212
727,221,218
728,226,223
729,218,215
730,225,223
731,219,217
732,220,218
733,211,208
734,226,223
735,223,220
736,226,223
737,224,222
738,223,220
739,222,219
740,211,208
741,225,223
742,221,218
743,226,223
744,218,216
745,223,220
746,226,223
747,227,224
748,223,220
749,226,223
750,224,222
751,226,224
752,217,214
753,212,209
754,226,223
755,221,218
756,226,224
757,211,208
758,226,223
759,226,223
760,217,214
761,223,220
762,223,220
763,218,215
764,226,223
765,222,218
766,226,223
767,226,223
768,222,219
769,221,218
770,226,223
771,211,208
772,226,223
773,217,214
774,226,223
775,215,212
776,224,222
777,226,223
778,219,217
779,227,224
780,227,224
781,218,215
782,219,216
783,221,218
784,219,217
785,224,222
786,211,208
787,226,223
788,226,223
789,227,224
790,222,218
791,226,223
792,226,223
793,212,209
794,225,223
795,215,212
796,222,219
797,222,218
798,225,223
799,218,216
800,227,224
801,215,212
802,224,222
803,215,212
804,218,215
805,223,220
806,212,209
807,215,212
808,217,214
809,215,212
810,224,221
811,212,209
812,224,222
813,224,222
814,213,210
815,215,212
816,226,223
817,217,214
818,225,223
819,215,213
820,224,222
821,226,223
822,215,212
823,211,208
824,212,209
825,217,214
826,223,220
827,223,220
828,226,223
829,214,211
830,218,215
831,215,212
832,226,223
833,212,209
834,216,213
835,226,223
836,224,222
837,218,215
838,211,208
839,215,212
840,226,223
841,227,224
842,215,212
843,212,209
844,224,222
845,212,209
846,216,214
847,218,216
848,224,222
849,224,222
850,226,223
851,215,212
852,217,214
853,227,224
